# Export File Created with QBlade CE v2.0.8.6_beta windows on 21.05.2025 at 14:14:05
NREL_5MW Simulation	[TSR_0.000]
Tip Speed Ratio [-]	Torque Coefficient Cm [-]	Tip Speed Ratio [-]	Torque Coefficient Cm [-]
1.3900000e+01	2.0647720e-02	END	END
1.4000000e+01	2.0099618e-02	END	END
1.4100000e+01	1.9553116e-02	END	END
1.4200000e+01	1.9008154e-02	END	END
1.4300000e+01	1.8464532e-02	END	END
1.4400000e+01	1.7921729e-02	END	END
1.4500000e+01	1.7380288e-02	END	END
1.4600000e+01	1.6840138e-02	END	END
1.4700000e+01	1.6301010e-02	END	END
1.4800000e+01	1.5762521e-02	END	END
1.4900000e+01	1.5224912e-02	END	END
1.5000000e+01	1.4688339e-02	END	END
1.5100000e+01	1.4152467e-02	END	END
1.5200000e+01	1.3616654e-02	END	END
1.5300000e+01	1.3080854e-02	END	END
1.5400000e+01	1.2545784e-02	END	END
1.5500000e+01	1.2010629e-02	END	END
1.5600000e+01	1.1476031e-02	END	END
1.5700000e+01	1.0941923e-02	END	END
1.5800000e+01	1.0407790e-02	END	END
1.5900000e+01	9.8738866e-03	END	END
1.6000000e+01	9.3402956e-03	END	END
1.6100000e+01	8.8068880e-03	END	END
1.6200001e+01	8.2734134e-03	END	END
1.6299999e+01	7.7401651e-03	END	END
1.6400000e+01	7.2072130e-03	END	END
1.6500000e+01	6.6738827e-03	END	END
1.6600000e+01	6.1405450e-03	END	END
1.6700001e+01	5.6073391e-03	END	END
1.6799999e+01	5.0740726e-03	END	END
1.6900000e+01	4.5407382e-03	END	END
1.7000000e+01	4.0070242e-03	END	END
1.7100000e+01	3.4731769e-03	END	END
1.7200001e+01	2.9392175e-03	END	END
1.7299999e+01	2.4052337e-03	END	END
1.7400000e+01	1.8712928e-03	END	END
1.7500000e+01	1.3368198e-03	END	END
1.7600000e+01	8.0184446e-04	END	END
1.7700001e+01	2.6661594e-04	END	END
1.7799999e+01	-2.6914623e-04	END	END
1.7900000e+01	-8.0539484e-04	END	END
