# Export File Created with QBlade CE v2.0.8.6_beta windows on 21.05.2025 at 14:14:42
NREL_5MW Simulation	[TSR_0.000]
Tip Speed Ratio [-]	Torque [Nm]	Tip Speed Ratio [-]	Torque [Nm]
1.3900000e+01	9.9345844e+05	END	END
1.4000000e+01	9.6708669e+05	END	END
1.4100000e+01	9.4079194e+05	END	END
1.4200000e+01	9.1457131e+05	END	END
1.4300000e+01	8.8841506e+05	END	END
1.4400000e+01	8.6229825e+05	END	END
1.4500000e+01	8.3624700e+05	END	END
1.4600000e+01	8.1025781e+05	END	END
1.4700000e+01	7.8431794e+05	END	END
1.4800000e+01	7.5840863e+05	END	END
1.4900000e+01	7.3254175e+05	END	END
1.5000000e+01	7.0672475e+05	END	END
1.5100000e+01	6.8094150e+05	END	END
1.5200000e+01	6.5516100e+05	END	END
1.5300000e+01	6.2938113e+05	END	END
1.5400000e+01	6.0363644e+05	END	END
1.5500000e+01	5.7788756e+05	END	END
1.5600000e+01	5.5216556e+05	END	END
1.5700000e+01	5.2646713e+05	END	END
1.5800000e+01	5.0076747e+05	END	END
1.5900000e+01	4.7507894e+05	END	END
1.6000000e+01	4.4940534e+05	END	END
1.6100000e+01	4.2374063e+05	END	END
1.6200001e+01	3.9807266e+05	END	END
1.6299999e+01	3.7241556e+05	END	END
1.6400000e+01	3.4677275e+05	END	END
1.6500000e+01	3.2111175e+05	END	END
1.6600000e+01	2.9545038e+05	END	END
1.6700001e+01	2.6979534e+05	END	END
1.6799999e+01	2.4413739e+05	END	END
1.6900000e+01	2.1847617e+05	END	END
1.7000000e+01	1.9279670e+05	END	END
1.7100000e+01	1.6711080e+05	END	END
1.7200001e+01	1.4141952e+05	END	END
1.7299999e+01	1.1572705e+05	END	END
1.7400000e+01	9.0036664e+04	END	END
1.7500000e+01	6.4320660e+04	END	END
1.7600000e+01	3.8580492e+04	END	END
1.7700001e+01	1.2828142e+04	END	END
1.7799999e+01	-1.2949886e+04	END	END
1.7900000e+01	-3.8751316e+04	END	END
