# Export File Created with QBlade CE v2.0.8.6_beta windows on 21.05.2025 at 18:58:21
New Turbine Simulation	[OpPoint]
Windspeed [m/s]	Power [W]	Windspeed [m/s]	Power [W]
1.7000000e+01	1.1616563e+07	END	END
1.7100000e+01	1.1686940e+07	END	END
1.7200001e+01	1.1757499e+07	END	END
1.7299999e+01	1.1828006e+07	END	END
1.7400000e+01	1.1895549e+07	END	END
1.7500000e+01	1.1962670e+07	END	END
1.7600000e+01	1.2025766e+07	END	END
1.7700001e+01	1.2088724e+07	END	END
1.7799999e+01	1.2146837e+07	END	END
1.7900000e+01	1.2205989e+07	END	END
1.8000000e+01	1.2263001e+07	END	END
1.8100000e+01	1.2318829e+07	END	END
1.8200001e+01	1.2374977e+07	END	END
1.8299999e+01	1.2429381e+07	END	END
1.8400000e+01	1.2483595e+07	END	END
1.8500000e+01	1.2535793e+07	END	END
1.8600000e+01	1.2586794e+07	END	END
1.8700001e+01	1.2635685e+07	END	END
1.8799999e+01	1.2684848e+07	END	END
1.8900000e+01	1.2733639e+07	END	END
1.9000000e+01	1.2781759e+07	END	END
1.9100000e+01	1.2830037e+07	END	END
1.9200001e+01	1.2878076e+07	END	END
1.9299999e+01	1.2925511e+07	END	END
1.9400000e+01	1.2971460e+07	END	END
1.9500000e+01	1.3018123e+07	END	END
1.9600000e+01	1.3064591e+07	END	END
1.9700001e+01	1.3110877e+07	END	END
1.9799999e+01	1.3156692e+07	END	END
1.9900000e+01	1.3201960e+07	END	END
2.0000000e+01	1.3247193e+07	END	END
2.0100000e+01	1.3289577e+07	END	END
2.0200001e+01	1.3331993e+07	END	END
2.0299999e+01	1.3375481e+07	END	END
2.0400000e+01	1.3418523e+07	END	END
2.0500000e+01	1.3461195e+07	END	END
2.0600000e+01	1.3503661e+07	END	END
2.0700001e+01	1.3545058e+07	END	END
2.0799999e+01	1.3587005e+07	END	END
2.0900000e+01	1.3627418e+07	END	END
2.1000000e+01	1.3666710e+07	END	END
2.1100000e+01	1.3706852e+07	END	END
2.1200001e+01	1.3746625e+07	END	END
2.1299999e+01	1.3785118e+07	END	END
2.1400000e+01	1.3822965e+07	END	END
2.1500000e+01	1.3860305e+07	END	END
2.1600000e+01	1.3897929e+07	END	END
2.1700001e+01	1.3933496e+07	END	END
2.1799999e+01	1.3969228e+07	END	END
2.1900000e+01	1.4003958e+07	END	END
2.2000000e+01	1.4038249e+07	END	END
2.2100000e+01	1.4071707e+07	END	END
2.2200001e+01	1.4105282e+07	END	END
2.2299999e+01	1.4137922e+07	END	END
2.2400000e+01	1.4169456e+07	END	END
2.2500000e+01	1.4199103e+07	END	END
2.2600000e+01	1.4228531e+07	END	END
2.2700001e+01	1.4257594e+07	END	END
