# Export File Created with QBlade CE v2.0.8.6_beta windows on 21.05.2025 at 18:58:42
New Turbine Simulation	[OpPoint]
Windspeed [m/s]	Thrust [N]	Windspeed [m/s]	Thrust [N]
1.7000000e+01	1.0185869e+06	END	END
1.7100000e+01	1.0218414e+06	END	END
1.7200001e+01	1.0252803e+06	END	END
1.7299999e+01	1.0287861e+06	END	END
1.7400000e+01	1.0322846e+06	END	END
1.7500000e+01	1.0358139e+06	END	END
1.7600000e+01	1.0393493e+06	END	END
1.7700001e+01	1.0428703e+06	END	END
1.7799999e+01	1.0462914e+06	END	END
1.7900000e+01	1.0497550e+06	END	END
1.8000000e+01	1.0532016e+06	END	END
1.8100000e+01	1.0566273e+06	END	END
1.8200001e+01	1.0600408e+06	END	END
1.8299999e+01	1.0634799e+06	END	END
1.8400000e+01	1.0669011e+06	END	END
1.8500000e+01	1.0702980e+06	END	END
1.8600000e+01	1.0736538e+06	END	END
1.8700001e+01	1.0769788e+06	END	END
1.8799999e+01	1.0803120e+06	END	END
1.8900000e+01	1.0836184e+06	END	END
1.9000000e+01	1.0869065e+06	END	END
1.9100000e+01	1.0902056e+06	END	END
1.9200001e+01	1.0934778e+06	END	END
1.9299999e+01	1.0967061e+06	END	END
1.9400000e+01	1.0999274e+06	END	END
1.9500000e+01	1.1031860e+06	END	END
1.9600000e+01	1.1064150e+06	END	END
1.9700001e+01	1.1096118e+06	END	END
1.9799999e+01	1.1127548e+06	END	END
1.9900000e+01	1.1158460e+06	END	END
2.0000000e+01	1.1189558e+06	END	END
2.0100000e+01	1.1219870e+06	END	END
2.0200001e+01	1.1250188e+06	END	END
2.0299999e+01	1.1280830e+06	END	END
2.0400000e+01	1.1311063e+06	END	END
2.0500000e+01	1.1341225e+06	END	END
2.0600000e+01	1.1371306e+06	END	END
2.0700001e+01	1.1400900e+06	END	END
2.0799999e+01	1.1430860e+06	END	END
2.0900000e+01	1.1460046e+06	END	END
2.1000000e+01	1.1488581e+06	END	END
2.1100000e+01	1.1517549e+06	END	END
2.1200001e+01	1.1546381e+06	END	END
2.1299999e+01	1.1575328e+06	END	END
2.1400000e+01	1.1604023e+06	END	END
2.1500000e+01	1.1632366e+06	END	END
2.1600000e+01	1.1660883e+06	END	END
2.1700001e+01	1.1688279e+06	END	END
2.1799999e+01	1.1715771e+06	END	END
2.1900000e+01	1.1742850e+06	END	END
2.2000000e+01	1.1769693e+06	END	END
2.2100000e+01	1.1796544e+06	END	END
2.2200001e+01	1.1823556e+06	END	END
2.2299999e+01	1.1850080e+06	END	END
2.2400000e+01	1.1876191e+06	END	END
2.2500000e+01	1.1901378e+06	END	END
2.2600000e+01	1.1926493e+06	END	END
2.2700001e+01	1.1951446e+06	END	END
2.2799999e+01	1.1976280e+06	END	END
2.2900000e+01	1.2001016e+06	END	END
2.3000000e+01	1.2025925e+06	END	END
2.3100000e+01	1.2050576e+06	END	END
2.3200001e+01	1.2075318e+06	END	END
2.3299999e+01	1.2099448e+06	END	END
2.3400000e+01	1.2123858e+06	END	END
2.3500000e+01	1.2148099e+06	END	END
2.3600000e+01	1.2172391e+06	END	END
2.3700001e+01	1.2197154e+06	END	END
2.3799999e+01	1.2222535e+06	END	END
2.3900000e+01	1.2248420e+06	END	END
2.4000000e+01	1.2273135e+06	END	END
2.4100000e+01	1.2297711e+06	END	END
2.4200001e+01	1.2322218e+06	END	END
2.4299999e+01	1.2347920e+06	END	END
2.4400000e+01	1.2373531e+06	END	END
2.4500000e+01	1.2399061e+06	END	END
2.4600000e+01	1.2424853e+06	END	END
2.4700001e+01	1.2449935e+06	END	END
2.4799999e+01	1.2474809e+06	END	END
2.4900000e+01	1.2499976e+06	END	END
2.5000000e+01	1.2525105e+06	END	END
