# Export File Created with QBlade CE v2.0.8.6_beta windows on 21.05.2025 at 18:58:32
New Turbine Simulation	[OpPoint]
Windspeed [m/s]	Power Coefficient [-]	Windspeed [m/s]	Power Coefficient [-]
1.6900000e+01	3.1310436e-01	END	END
1.7000000e+01	3.0959493e-01	END	END
1.7100000e+01	3.0603805e-01	END	END
1.7200001e+01	3.0254680e-01	END	END
1.7299999e+01	2.9911360e-01	END	END
1.7400000e+01	2.9566485e-01	END	END
1.7500000e+01	2.9226509e-01	END	END
1.7600000e+01	2.8882691e-01	END	END
1.7700001e+01	2.8544578e-01	END	END
1.7799999e+01	2.8201106e-01	END	END
1.7900000e+01	2.7866140e-01	END	END
1.8000000e+01	2.7532279e-01	END	END
1.8100000e+01	2.7201736e-01	END	END
1.8200001e+01	2.6877767e-01	END	END
1.8299999e+01	2.6555786e-01	END	END
1.8400000e+01	2.6239112e-01	END	END
1.8500000e+01	2.5923854e-01	END	END
1.8600000e+01	2.5611749e-01	END	END
1.8700001e+01	2.5300956e-01	END	END
1.8799999e+01	2.4996239e-01	END	END
1.8900000e+01	2.4696197e-01	END	END
1.9000000e+01	2.4400164e-01	END	END
1.9100000e+01	2.4109641e-01	END	END
1.9200001e+01	2.3823756e-01	END	END
1.9299999e+01	2.3541750e-01	END	END
1.9400000e+01	2.3261975e-01	END	END
1.9500000e+01	2.2988333e-01	END	END
1.9600000e+01	2.2719070e-01	END	END
1.9700001e+01	2.2454119e-01	END	END
1.9799999e+01	2.2192900e-01	END	END
1.9900000e+01	2.1935226e-01	END	END
2.0000000e+01	2.1681874e-01	END	END
2.0100000e+01	2.1428211e-01	END	END
2.0200001e+01	2.1178924e-01	END	END
2.0299999e+01	2.0935543e-01	END	END
2.0400000e+01	2.0695558e-01	END	END
2.0500000e+01	2.0459026e-01	END	END
2.0600000e+01	2.0226130e-01	END	END
2.0700001e+01	1.9995522e-01	END	END
2.0799999e+01	1.9769545e-01	END	END
2.0900000e+01	1.9545089e-01	END	END
2.1000000e+01	1.9322754e-01	END	END
2.1100000e+01	1.9105275e-01	END	END
2.1200001e+01	1.8890847e-01	END	END
2.1299999e+01	1.8678182e-01	END	END
2.1400000e+01	1.8468125e-01	END	END
2.1500000e+01	1.8260823e-01	END	END
2.1600000e+01	1.8057257e-01	END	END
2.1700001e+01	1.7854342e-01	END	END
2.1799999e+01	1.7654924e-01	END	END
2.1900000e+01	1.7457473e-01	END	END
2.2000000e+01	1.7262664e-01	END	END
2.2100000e+01	1.7069976e-01	END	END
2.2200001e+01	1.6880520e-01	END	END
2.2299999e+01	1.6692983e-01	END	END
2.2400000e+01	1.6507147e-01	END	END
2.2500000e+01	1.6322111e-01	END	END
2.2600000e+01	1.6139783e-01	END	END
2.2700001e+01	1.5959953e-01	END	END
2.2799999e+01	1.5781949e-01	END	END
2.2900000e+01	1.5605628e-01	END	END
2.3000000e+01	1.5432391e-01	END	END
2.3100000e+01	1.5261152e-01	END	END
2.3200001e+01	1.5092781e-01	END	END
2.3299999e+01	1.4925405e-01	END	END
2.3400000e+01	1.4760871e-01	END	END
2.3500000e+01	1.4598028e-01	END	END
2.3600000e+01	1.4437176e-01	END	END
2.3700001e+01	1.4279556e-01	END	END
