# Export File Created with QBlade CE v2.0.8.6_beta windows on 21.05.2025 at 14:15:02
NREL_5MW Simulation	[TSR_0.000]
Tip Speed Ratio [-]	Thrust [N]	Tip Speed Ratio [-]	Thrust [N]
1.3900000e+01	8.1863431e+05	END	END
1.4000000e+01	8.2154331e+05	END	END
1.4100000e+01	8.2444288e+05	END	END
1.4200000e+01	8.2733125e+05	END	END
1.4300000e+01	8.3021006e+05	END	END
1.4400000e+01	8.3307663e+05	END	END
1.4500000e+01	8.3593425e+05	END	END
1.4600000e+01	8.3878163e+05	END	END
1.4700000e+01	8.4161963e+05	END	END
1.4800000e+01	8.4444700e+05	END	END
1.4900000e+01	8.4726669e+05	END	END
1.5000000e+01	8.5007725e+05	END	END
1.5100000e+01	8.5287869e+05	END	END
1.5200000e+01	8.5566694e+05	END	END
1.5300000e+01	8.5844606e+05	END	END
1.5400000e+01	8.6121738e+05	END	END
1.5500000e+01	8.6397775e+05	END	END
1.5600000e+01	8.6672950e+05	END	END
1.5700000e+01	8.6947400e+05	END	END
1.5800000e+01	8.7221088e+05	END	END
1.5900000e+01	8.7493925e+05	END	END
1.6000000e+01	8.7766063e+05	END	END
1.6100000e+01	8.8037463e+05	END	END
1.6200001e+01	8.8307975e+05	END	END
1.6299999e+01	8.8578025e+05	END	END
1.6400000e+01	8.8847444e+05	END	END
1.6500000e+01	8.9115988e+05	END	END
1.6600000e+01	8.9383688e+05	END	END
1.6700001e+01	8.9650681e+05	END	END
1.6799999e+01	8.9917256e+05	END	END
1.6900000e+01	9.0183094e+05	END	END
1.7000000e+01	9.0448188e+05	END	END
1.7100000e+01	9.0712756e+05	END	END
1.7200001e+01	9.0976613e+05	END	END
1.7299999e+01	9.1239856e+05	END	END
1.7400000e+01	9.1502613e+05	END	END
1.7500000e+01	9.1764625e+05	END	END
1.7600000e+01	9.2025950e+05	END	END
1.7700001e+01	9.2286644e+05	END	END
1.7799999e+01	9.2546769e+05	END	END
1.7900000e+01	9.2806194e+05	END	END
